,Open,High,Low,Close,Adj Close,Volume,score,body_sentiment,title_sentiment,counts
2020-06-27,4.48,4.5,4.27,4.35,4.35,3801200,,,,0
2020-06-28,4.48,4.5,4.27,4.35,4.35,3801200,,,,0
2020-06-29,4.35,4.52,4.3,4.38,4.38,2131200,,,,0
2020-06-30,4.33,4.51,4.2,4.34,4.34,3889000,,,,0
2020-07-01,4.31,4.5,4.31,4.44,4.44,2303700,,,,0
2020-07-02,4.49,4.51,4.29,4.29,4.29,1887600,,,,0
2020-07-03,4.49,4.51,4.29,4.29,4.29,1887600,1.0,0.5826,0.0,1
2020-07-04,4.49,4.51,4.29,4.29,4.29,1887600,,,,0
2020-07-05,4.49,4.51,4.29,4.29,4.29,1887600,,,,0
2020-07-06,4.31,4.34,4.19,4.24,4.24,2140900,,,,0
2020-07-07,4.2,4.25,4.06,4.09,4.09,2456600,,,,0
2020-07-08,4.1,4.29,4.03,4.26,4.26,2052800,,,,0
2020-07-09,4.27,4.32,4.13,4.21,4.21,1992600,,,,0
2020-07-10,4.2,4.38,4.18,4.34,4.34,1410800,,,,0
2020-07-11,4.2,4.38,4.18,4.34,4.34,1410800,,,,0
2020-07-12,4.2,4.38,4.18,4.34,4.34,1410800,,,,0
2020-07-13,4.35,4.55,4.26,4.26,4.26,4216200,,,,0
2020-07-14,4.22,4.31,4.07,4.08,4.08,2261600,,,,0
2020-07-15,4.13,4.29,4.13,4.19,4.19,1474100,,,,0
2020-07-16,4.19,4.2,4.09,4.17,4.17,1330100,,,,0
2020-07-17,4.16,4.23,3.94,3.96,3.96,3065900,,,,0
2020-07-18,4.16,4.23,3.94,3.96,3.96,3065900,,,,0
2020-07-19,4.16,4.23,3.94,3.96,3.96,3065900,,,,0
2020-07-20,3.95,4.06,3.77,3.85,3.85,3401100,,,,0
2020-07-21,3.9,4.09,3.88,4.01,4.01,3341000,,,,0
2020-07-22,4.02,4.12,3.92,4.11,4.11,2523500,,,,0
2020-07-23,4.09,4.31,4.06,4.11,4.11,3237200,,,,0
2020-07-24,4.06,4.23,4.01,4.03,4.03,2215900,,,,0
2020-07-25,4.06,4.23,4.01,4.03,4.03,2215900,,,,0
2020-07-26,4.06,4.23,4.01,4.03,4.03,2215900,,,,0
2020-07-27,4.02,4.12,3.95,4.01,4.01,2472700,,,,0
